liga,data,mecz,wynik,gole,btts,over_2_5
Serie A,2026-04-19 12:30:00,Cremonese vs Torino,0:0,0,NIE,NIE
Ekstraklasa,2026-04-19 12:15:00,Bruk-Bet T. vs Wisła Płock,1:3,4,TAK,TAK
Ligue 1,2026-04-18 21:05:00,Lille vs Nice,0:0,0,NIE,NIE
Premier League,2026-04-18 21:00:00,Chelsea vs Manchester Utd,0:1,1,NIE,NIE
Serie A,2026-04-18 20:45:00,AS Roma vs Atalanta,1:1,2,TAK,NIE
2. Bundesliga,2026-04-18 20:30:00,Hannover vs Paderborn,1:1,2,TAK,NIE
Ekstraklasa,2026-04-18 20:15:00,Pogoń Szczecin vs Lech Poznań,1:2,3,TAK,TAK
Ligue 1,2026-04-18 19:00:00,Angers vs Le Havre,1:1,2,TAK,NIE
Bundesliga,2026-04-18 18:30:00,Eintracht Frankfurt vs RB Lipsk,1:3,4,TAK,TAK
Premier League,2026-04-18 18:30:00,Tottenham vs Brighton,2:2,4,TAK,TAK
Serie A,2026-04-18 18:00:00,Napoli vs Lazio,0:2,2,NIE,NIE
Ekstraklasa,2026-04-18 17:30:00,Górnik Zabrze vs Korona Kielce,1:0,1,NIE,NIE
Ligue 1,2026-04-18 17:00:00,Lorient vs Marsylia,2:0,2,NIE,NIE
Premier League,2026-04-18 16:00:00,Newcastle vs Bournemouth,1:2,3,TAK,TAK
Premier League,2026-04-18 16:00:00,Leeds vs Wolves,3:0,3,NIE,TAK
Bundesliga,2026-04-18 15:30:00,TSG Hoffenheim vs Borussia Dortmund,2:1,3,TAK,TAK
Bundesliga,2026-04-18 15:30:00,Bayer Leverkusen vs FC Augsburg,1:2,3,TAK,TAK
Bundesliga,2026-04-18 15:30:00,Union Berlin vs VfL Wolfsburg,1:2,3,TAK,TAK
Bundesliga,2026-04-18 15:30:00,Werder Brema vs Hamburger SV,3:1,4,TAK,TAK
Serie A,2026-04-18 15:00:00,Udinese vs Parma,0:1,1,NIE,NIE
Ekstraklasa,2026-04-18 14:45:00,Radomiak Radom vs Widzew Łódź,2:1,3,TAK,TAK
Premier League,2026-04-18 13:30:00,Brentford vs Fulham,0:0,0,NIE,NIE
2. Bundesliga,2026-04-18 13:00:00,Magdeburg vs Fortuna Düsseldorf,2:0,2,NIE,NIE
2. Bundesliga,2026-04-18 13:00:00,Dresden vs Bochum,2:0,2,NIE,NIE
2. Bundesliga,2026-04-18 13:00:00,Arminia Bielefeld vs 1. FC Nürnberg,1:1,2,TAK,NIE
Ligue 1,2026-04-17 20:45:00,Lens vs Toulouse,3:2,5,TAK,TAK
Serie A,2026-04-17 20:45:00,Inter vs Cagliari,3:0,3,NIE,TAK
Ekstraklasa,2026-04-17 20:30:00,Legia Warszawa vs Zagłębie Lubin,1:0,1,NIE,NIE
Bundesliga,2026-04-17 20:30:00,St. Pauli vs 1. FC Koeln,1:1,2,TAK,NIE
Serie A,2026-04-17 18:30:00,Sassuolo vs Como,2:1,3,TAK,TAK
2. Bundesliga,2026-04-17 18:30:00,Kiel vs Kaiserslautern,3:0,3,NIE,TAK
2. Bundesliga,2026-04-17 18:30:00,Elversberg vs Karlsruher,3:0,3,NIE,TAK
Ekstraklasa,2026-04-17 18:00:00,GKS Katowice vs Motor Lublin,3:2,5,TAK,TAK
Premier League,2026-04-13 21:00:00,Manchester Utd vs Leeds,1:2,3,TAK,TAK
Serie A,2026-04-13 20:45:00,Fiorentina vs Lazio,1:0,1,NIE,NIE
Ekstraklasa,2026-04-13 19:00:00,Piast Gliwice vs Pogoń Szczecin,0:2,2,NIE,NIE
Serie A,2026-04-12 20:45:00,Como vs Inter,3:4,7,TAK,TAK
Ligue 1,2026-04-12 20:45:00,Lyon vs Lorient,2:0,2,NIE,NIE
